,CUSTOMER_SK,NumProducts,DistinctProducts,Revenue,TotalNoOfVisits,Recency,AvgSpend,CITY_NM,CUSTOMER_TYPE_CD,ckm$cluster
97,22287906,645,302,2969.08912,37,138,80.24565189,HALIFAX,A,4
98,59502886,801,402,2967.23958,46,4,64.50520826,HALIFAX,A,2
99,58910480,769,365,2961.12929,40,1,74.02823225,HALIFAX,A,2
100,58299728,738,340,2951.37947,29,3,101.7717059,HALIFAX,A,2
101,59794466,782,448,2939.28965,108,1,27.21564491,HALIFAX,A,2
102,38988153,694,318,2921.99965,56,134,52.17856518,HALIFAX,A,4
103,60416645,1313,345,2920.79927,129,3,22.64185481,HALIFAX,A,2
104,59607596,933,301,2918.0196,25,2,116.720784,HALIFAX,A,2
105,60084673,770,327,2910.12971,40,3,72.75324275,HALIFAX,A,4
106,58657920,944,293,2908.04974,71,13,40.95844704,HALIFAX,A,2
107,59910413,677,243,2905.04927,56,13,51.87587982,BEDFORD,A,4
108,58266455,734,370,2873.95947,51,2,56.35214647,HALIFAX,A,2
109,59427733,1340,146,2846.25802,82,2,34.71046366,HALIFAX,A,2
110,39741082,899,474,2836.22993,35,11,81.03514086,HALIFAX,A,2
111,58831091,705,324,2826.33951,31,6,91.17224226,HALIFAX,A,4
112,22283777,742,273,2826.04942,38,136,74.36972158,HALIFAX,A,4
113,22448137,828,400,2825.67955,65,134,43.47199308,HALIFAX,A,2
114,58808222,859,335,2822.7295,59,1,47.84287288,HALIFAX,A,2
115,59566474,844,343,2812.77986,75,2,37.50373147,HALIFAX,A,2
116,59752418,899,369,2795.93989,94,1,29.74404138,HALIFAX,A,2
117,59920039,730,142,2791.36955,79,3,35.33379177,HALIFAX,A,5
118,21173320,794,279,2785.36975,56,135,49.73874554,HALIFAX,A,4
119,59577999,792,407,2775.90983,97,1,28.61762711,CHARLOTTET,A,2
120,59579364,1021,326,2763.80967,93,1,29.71838355,HALIFAX,A,2
121,23635344,686,303,2757.6697,36,134,76.60193611,HALIFAX,A,4
122,58283072,829,308,2734.32965,42,2,65.1030869,HALIFAX,A,4
123,22114167,1360,137,2726.8282,80,134,34.0853525,HALIFAX,A,2
124,21621964,657,242,2720.54928,56,136,48.58123714,HALIFAX,A,4
125,51835173,761,315,2719.77969,29,135,93.78550655,HALIFAX,A,4
126,62349068,716,418,2716.34969,26,4,104.4749881,HALIFAX,A,2
127,59564876,770,476,2715.68967,37,3,73.39701811,HALIFAX,A,2
128,59106914,657,413,2713.51942,21,2,129.2152105,HALIFAX,A,2
129,58872822,816,373,2708.40963,49,3,55.27366592,HALIFAX,A,2
130,21432192,695,310,2700.90946,33,135,81.84574121,HALIFAX,A,4
131,22302616,946,318,2695.19967,75,135,35.9359956,HALIFAX,A,2
132,59459473,714,158,2685.96985,19,1,141.3668342,HALIFAX,A,1
133,35109326,815,421,2682.2198,69,3,38.87275072,HALIFAX,A,2
134,39314414,710,152,2681.13978,18,134,148.95221,HALIFAX,A,1
135,22208972,774,266,2680.98984,75,137,35.7465312,DARTMOUTH,A,4
136,22642065,782,294,2677.73959,21,139,127.511409,HALIFAX,A,4
137,58237558,703,266,2675.65963,25,5,107.0263852,BEDFORD,A,4
138,22562109,878,491,2672.90979,25,147,106.9163916,HALIFAX,A,2
139,61373866,728,232,2671.21976,87,1,30.7036754,HALIFAX,A,5
140,58341594,646,274,2670.44962,60,4,44.50749367,HALIFAX,A,4
141,59531190,859,301,2664.30963,46,9,57.91977457,HALIFAX,A,4
142,59427703,1048,316,2662.05978,127,1,20.96110063,HALIFAX,A,5
143,22114791,781,334,2648.40958,100,135,26.4840958,HALIFAX,A,5
144,58474854,653,280,2647.79949,61,2,43.40654902,HALIFAX,A,4
145,21272846,667,365,2645.62964,11,154,240.5117855,CHESTER,A,1
146,59829841,858,289,2641.21969,23,6,114.8356387,HALIFAX,A,4
147,40047305,717,391,2639.64956,38,134,69.46446211,HALIFAX,A,4
148,58890296,685,268,2632.40934,23,10,114.45258,HALIFAX,A,4
149,21452032,689,259,2629.85929,17,136,154.6976053,HALIFAX,A,1
150,62344524,729,222,2622.39962,72,1,36.42221694,HALIFAX,A,4
151,22540295,791,319,2617.96988,88,134,29.74965773,HALIFAX,A,4
152,59618289,747,264,2605.51972,58,2,44.92275379,HALIFAX,A,4
153,58327318,687,390,2605.3896,35,1,74.43970286,FREDERICTO,A,4
154,22114425,969,406,2600.25959,171,134,15.20619643,HALIFAX,A,5
155,62430433,717,227,2595.31969,33,6,78.64605121,HALIFAX,A,4
156,59003863,825,178,2585.56962,119,3,21.7274758,HALIFAX,A,5
157,20666033,700,312,2585.48941,52,135,49.72095019,HALIFAX,A,4
158,59487318,699,313,2583.51979,31,3,83.33934806,HALIFAX,A,4
159,20759298,697,318,2576.73964,50,135,51.5347928,HALIFAX,A,4
160,59077043,842,429,2572.73969,104,1,24.73788163,HALIFAX,A,2
161,22760738,694,169,2572.73952,66,136,38.98090182,HALIFAX,A,4
162,59751318,738,345,2568.27979,51,1,50.35842725,HALIFAX,A,4
163,60637096,692,315,2565.28978,26,7,98.66499154,DARTMOUTH,A,4
164,22114125,911,329,2545.44984,110,134,23.14045309,HALIFAX,A,5
165,60349370,751,265,2542.61947,43,1,59.13068535,HALIFAX,A,4
166,58642186,767,282,2541.17958,31,4,81.97353484,HALIFAX,A,4
167,59077582,681,289,2540.81964,40,2,63.520491,HALIFAX,A,4
168,51829265,666,250,2534.46967,21,136,120.6890319,BEDFORD,A,4
169,59564896,807,302,2524.69944,35,1,72.13426971,HALIFAX,A,4
170,21656683,697,337,2524.20972,35,136,72.12027771,HALIFAX,A,4
171,58234395,848,316,2520.29971,38,1,66.32367658,HALIFAX,A,4
172,60484821,674,382,2514.23962,51,1,49.29881608,HALIFAX,A,4
173,61813890,627,290,2508.37952,12,9,209.0316267,HALIFAX,A,1
174,23625408,628,406,2505.36957,26,134,96.36036808,HALIFAX,A,4
175,22300853,700,357,2491.29994,65,134,38.32769138,CHARLOTTET,A,4
176,59921275,732,288,2490.65952,38,2,65.54367158,HALIFAX,A,4
177,58358415,676,325,2487.57993,19,9,130.9252595,HALIFAX,A,4
178,21388456,812,227,2482.08926,46,135,53.95846217,HALIFAX,A,4
179,20698259,734,353,2480.31958,34,134,72.95057588,HALIFAX,A,4
180,60326154,660,275,2477.96968,38,1,65.20972842,HALIFAX,A,4
181,34438715,654,224,2474.28981,71,134,34.84915225,HALIFAX,A,4
182,59500430,571,310,2467.38939,64,2,38.55295922,HALIFAX,A,4
183,60623136,849,232,2461.51971,41,3,60.0370661,HALIFAX,A,4
184,33444987,740,357,2460.26976,61,134,40.33229115,NEW WATERF,A,4
185,21123450,933,382,2459.53976,44,134,55.89863091,HALIFAX,A,2
186,64921775,639,368,2458.75934,32,1,76.83622938,HALIFAX,A,4
187,58836509,840,238,2457.99921,40,2,61.44998025,HALIFAX,A,4
188,59427920,1072,435,2454.54963,60,1,40.9091605,HALIFAX,A,2
189,21476196,648,304,2453.77947,40,141,61.34448675,HALIFAX,A,4
190,58501745,829,396,2450.03959,77,2,31.81869597,HALIFAX,A,2
191,23743254,661,321,2444.9698,20,138,122.24849,DARTMOUTH,A,4
192,21569991,581,401,2441.55955,20,141,122.0779775,HALIFAX,A,4
193,23278412,804,338,2439.26978,19,136,128.38262,HALIFAX,A,4
194,21619730,612,372,2434.87948,28,135,86.95998143,HALIFAX,A,4
195,20688412,677,242,2433.8296,54,134,45.07091852,HALIFAX,A,4
196,20718561,774,276,2428.66969,37,135,65.63972135,HALIFAX,A,4
197,59503350,739,285,2427.1097,66,4,36.77438939,HALIFAX,A,4
198,60641249,619,236,2426.99948,34,3,71.38233765,HALIFAX,A,4
199,62319212,659,226,2424.04957,18,7,134.6694206,HALIFAX,A,1
200,58896056,594,353,2413.92965,56,1,43.10588661,HALIFAX,A,4
201,60298425,816,339,2413.9098,23,3,104.9526,HALIFAX,A,4
202,40035819,607,256,2411.08936,12,136,200.9241133,HALIFAX,A,1
203,36791222,658,319,2409.63962,27,137,89.24591185,HALIFAX,A,4
204,38981350,622,237,2401.79969,24,136,100.0749871,HALIFAX,A,4
205,59035790,635,339,2400.44978,68,1,35.30073206,HALIFAX,A,4
206,22242219,721,275,2386.71964,57,137,41.87227439,HALIFAX,A,4
207,21635263,637,305,2366.0896,46,137,51.43673043,HALIFAX,A,4
208,22981918,679,244,2362.53979,31,143,76.21096097,HALIFAX,A,4
209,34920290,601,256,2356.36926,86,4,27.39964256,HALIFAX,A,5
210,39630131,839,327,2348.75978,58,142,40.49585828,HALIFAX,A,4
211,34917312,669,335,2342.35967,35,134,66.924562,HALIFAX,A,4
212,58650481,653,283,2340.74955,42,2,55.73213214,HALIFAX,A,4
213,21688304,826,395,2338.84975,88,136,26.57783807,HALIFAX,A,4
214,58983522,657,353,2333.06964,60,2,38.884494,HALIFAX,A,4
215,21015957,572,335,2327.1393,10,136,232.71393,HALIFAX,A,1
216,59618282,631,311,2323.92988,18,3,129.1072156,HALIFAX,A,4
217,22848790,624,282,2322.38966,55,134,42.22526655,HALIFAX,A,4
218,25763791,575,356,2321.49952,45,139,51.58887822,HALIFAX,A,4
219,51288842,592,364,2318.01977,62,137,37.38741565,HALIFAX,A,4
220,59567857,641,149,2316.59941,44,4,52.64998659,HALIFAX,A,4
221,61786992,858,144,2312.64949,94,2,24.60265415,GUYSBOROUG,A,5
222,28665932,628,270,2310.46969,37,134,62.44512676,PETITE RIV,A,4
223,21155118,710,260,2304.19979,117,134,19.6940153,HALIFAX,A,5
224,58258258,649,244,2303.86959,65,3,35.44414754,HALIFAX,A,4
225,53712438,600,324,2302.37954,29,135,79.39239793,,A,4
226,58338206,642,339,2299.45981,30,2,76.64866033,HALIFAX,A,4
227,59609429,566,218,2296.92956,56,6,41.01659929,HALIFAX,A,4
228,40173104,469,149,2295.53955,18,136,127.529975,HALIFAX,A,1
229,59080575,631,297,2294.09965,67,1,34.24029328,HALIFAX,A,4
230,22746387,511,259,2291.31962,34,135,67.39175353,BEDFORD,A,4
231,60915693,623,361,2282.97963,38,2,60.07841132,MOUNT UNIA,A,4
232,28181258,744,341,2282.96981,57,134,40.05210193,HALIFAX,A,4
233,60674740,649,205,2282.62968,27,4,84.54184,HALIFAX,A,4
234,62370973,665,293,2277.74961,36,4,63.2708225,HALIFAX,A,4
235,20771796,598,340,2276.27961,35,134,65.03656029,FREDERICTO,A,4
236,59984800,613,234,2267.4397,80,1,28.34299625,HALIFAX,A,5
237,58304871,698,292,2261.93953,58,1,38.99895741,HALIFAX,A,4
238,60451034,642,200,2253.06964,30,3,75.10232133,HALIFAX,A,4
239,39307935,614,298,2250.92947,16,134,140.6830919,HALIFAX,A,1
240,58997375,611,298,2249.86968,47,2,47.86956766,HALIFAX,A,4
241,22211953,628,281,2247.36965,66,138,34.0510553,HALIFAX,A,4
242,59016692,622,300,2244.75961,53,3,42.35395491,HALIFAX,A,4
243,58910536,642,301,2243.34968,30,3,74.77832267,HALIFAX,A,4
244,22114727,648,353,2243.28965,19,134,118.0678763,HALIFAX,A,4
245,60616860,643,291,2237.98968,19,1,117.7889305,HALIFAX,A,4
246,22208939,618,265,2225.12967,28,135,79.46891679,HALIFAX,A,4
247,62396030,605,292,2224.42963,42,1,52.96261024,HALIFAX,A,4
248,21432198,549,242,2224.25966,60,134,37.07099433,HALIFAX,A,4
249,37702347,639,258,2220.49971,56,134,39.65178054,HALIFAX,A,4
250,22284372,751,266,2220.48943,25,140,88.8195772,HALIFAX,A,4
251,39649111,573,395,2219.56973,25,138,88.7827892,HALIFAX,A,4
252,58870891,797,401,2219.11995,130,2,17.07015346,HALIFAX,A,5
253,53325366,751,303,2218.2997,42,140,52.81665952,EAST YORK,A,4
254,58353292,614,209,2211.31982,52,3,42.52538115,HALIFAX,A,4
255,59087787,571,251,2206.89943,32,7,68.96560719,HALIFAX,A,4
256,61353661,918,235,2199.26975,59,1,37.27575847,HALIFAX,A,4
257,59981468,622,251,2197.49976,96,2,22.8906225,HALIFAX,A,5
258,20788623,584,230,2196.19965,41,136,53.56584512,HALIFAX,A,4
259,60549933,763,300,2191.94958,39,12,56.20383538,HALIFAX,A,4
260,37143504,605,157,2190.39973,21,135,104.304749,DARTMOUTH,A,1
261,39745841,583,179,2186.4498,24,140,91.102075,HALIFAX,A,1
262,59026858,568,387,2181.84958,33,1,66.11665394,HALIFAX,A,4
263,58872376,625,281,2178.10962,51,2,42.70803176,HALIFAX,A,4
264,59567703,1105,270,2177.24989,120,1,18.14374908,HALIFAX,A,5
265,21384385,509,275,2175.34968,21,144,103.58808,HALIFAX,A,1
266,58642267,635,246,2174.98975,119,3,18.27722479,HALIFAX,A,5
267,31829264,953,194,2173.32875,27,134,80.49365741,HALIFAX,A,4
268,58889707,574,177,2172.8294,23,6,94.47084348,HALIFAX,A,4
269,59427891,554,208,2160.71949,42,2,51.44570214,HALIFAX,A,4
270,58246473,551,321,2158.97971,10,1,215.897971,HALIFAX,A,1
271,20697030,574,272,2153.50957,23,136,93.63085087,HALIFAX,A,4
272,23352695,652,253,2152.05971,44,135,48.91044795,HALIFAX,A,4
273,20660110,746,297,2146.77983,34,134,63.14058324,HALIFAX,A,4
274,58528520,564,302,2145.34934,19,15,112.9131232,HALIFAX,A,4
275,23717387,542,134,2143.3095,52,135,41.21749038,HALIFAX,A,3
276,59504641,622,273,2140.88968,33,2,64.87544485,HALIFAX,A,4
277,59003455,504,265,2138.05955,35,3,61.08741571,HALIFAX,A,4
278,22351989,632,214,2133.17976,31,138,68.81225032,HALIFAX,A,4
279,35094805,743,410,2132.28998,89,1,23.95831438,CORNER BRO,A,5
280,59428206,660,285,2129.24954,90,1,23.65832822,HALIFAX,A,5
281,37632766,519,273,2124.48958,22,136,96.56770818,HALIFAX,A,1
282,20846015,590,370,2124.12972,15,141,141.608648,SUTTON WES,A,1
283,39617406,520,302,2123.03972,11,140,193.0036109,HALIFAX,A,1
284,21155028,688,276,2122.70964,26,137,81.64267846,HALIFAX,A,4
285,23748348,624,326,2117.04985,61,137,34.70573525,HALIFAX,A,4
286,23777359,580,203,2116.86931,10,135,211.686931,NEPEAN,A,1
287,61809069,615,84,2111.75974,52,1,40.61076423,HALIFAX,A,6
288,60615674,819,362,2106.9599,145,1,14.53075793,HALIFAX,A,5
289,39356029,640,272,2103.2996,38,138,55.34998947,HALIFAX,A,4
290,40167740,580,238,2102.34953,21,136,100.1118824,HALIFAX,A,1
291,21431603,573,280,2100.85959,45,136,46.68576867,HALIFAX,A,4
292,58489862,572,323,2099.98957,28,9,74.9996275,HALIFAX,A,4
293,58380722,691,327,2098.27994,24,5,87.42833083,LAWRENCETO,A,4
294,22473505,496,199,2088.98949,86,134,24.29057547,HALIFAX,A,5
295,58872751,599,290,2086.3298,72,1,28.97680278,HALIFAX,A,5
296,59646387,591,325,2085.42972,16,12,130.3393575,HALIFAX,A,4
297,59428165,623,317,2083.78967,29,6,71.85481621,HALIFAX,A,4
298,40046066,602,266,2082.38989,27,135,77.12555148,WELLAND,A,4
299,59485466,630,194,2082.28974,42,1,49.57832714,HERRING CO,A,4
300,20784710,554,297,2082.02967,21,141,99.14427,HALIFAX,A,4
301,59578253,691,368,2078.24983,31,4,67.0403171,HALIFAX,A,4
302,58880483,559,318,2077.83976,26,11,79.91691385,HALIFAX,A,4
303,38864422,804,426,2075.25973,102,136,20.34568363,HALIFAX,A,5
304,20802419,568,193,2068.28981,48,135,43.08937104,HALIFAX,A,3
305,59618368,504,236,2067.96962,23,11,89.91172261,HALIFAX,A,4
306,59504650,734,257,2067.51956,40,6,51.687989,HALIFAX,A,4
307,60984659,537,376,2067.16968,38,2,54.39920211,HALIFAX,A,4
308,58358135,492,247,2067.02949,52,1,39.75056712,HALIFAX,A,4
309,22203725,494,258,2066.55952,67,134,30.84417194,HALIFAX,A,4
310,22288611,607,187,2066.22952,79,134,26.15480405,HALIFAX,A,5
311,23182448,567,245,2066.12975,33,136,62.60999242,HALIFAX,A,4
312,22114222,621,344,2064.06968,27,134,76.44702519,HALIFAX,A,4
313,40173100,557,307,2063.21979,21,136,98.24856143,HALIFAX,A,4
314,60524342,611,169,2061.92975,63,2,32.72904365,HALIFAX,A,5
315,22113293,746,248,2061.81968,111,136,18.57495207,HATCHET LA,A,5
316,59830917,505,198,2060.93951,49,1,42.05999,HALIFAX,A,6
317,22288083,651,289,2060.42972,65,135,31.69891877,HALIFAX,A,4
318,22208951,749,292,2059.65955,38,135,54.20156711,HALIFAX,A,4
319,59027377,562,339,2057.60969,36,3,57.15582472,HALIFAX,A,4
320,20968252,613,337,2056.60982,22,134,93.48226455,HALIFAX,A,4
321,29926497,660,387,2054.97978,34,140,60.44058176,HALIFAX,A,4
322,22843658,526,241,2053.63974,79,143,25.99543975,HALIFAX,A,5
323,59427889,736,309,2051.18996,91,1,22.54054901,HALIFAX,A,5
324,36352584,751,377,2048.58988,108,134,18.96842481,HALIFAX,A,5
325,51032169,527,185,2041.00958,30,136,68.03365267,HALIFAX,A,3
326,22208959,633,260,2040.50955,18,139,113.3616417,HALIFAX,A,1
327,38981467,590,254,2035.17969,58,134,35.089305,HALIFAX,A,4
328,28665663,642,278,2034.06963,39,135,52.15563154,HALIFAX,A,4
329,58645614,667,276,2033.75965,97,1,20.96659433,HALIFAX,A,5
330,59427035,751,242,2031.68961,115,1,17.66686617,HATCHET LA,A,5
331,22288093,566,129,2031.5495,27,138,75.24257407,HALIFAX,A,3
332,59579353,606,229,2030.15982,54,1,37.59555222,HALIFAX,A,4
333,23791664,579,186,2029.88962,31,137,65.48031032,HALIFAX,A,4
334,59427924,841,329,2028.75982,187,1,10.84898299,HALIFAX,A,5
335,58425257,527,254,2028.07953,41,4,49.46535439,HALIFAX,A,4
336,22114378,710,293,2025.28988,86,134,23.54988233,HALIFAX,A,5
337,59567717,475,237,2022.2295,26,4,77.77805769,HALIFAX,A,4
338,58337779,515,290,2021.66968,9,5,224.6299644,HALIFAX,A,1
339,62615702,805,257,2019.07949,48,1,42.06415604,HALIFAX,A,4
340,39450222,488,255,2018.90964,56,142,36.05195786,DARTMOUTH,A,4
341,20784444,573,253,2012.9297,14,136,143.7806929,HALIFAX,A,1
342,59086636,606,267,2012.08988,92,3,21.87054217,HALIFAX,A,5
343,22131525,782,290,2010.17992,101,134,19.90277149,HALIFAX,A,5
344,39622051,516,220,2010.05965,34,3,59.11940147,HALIFAX,A,6
345,60547813,515,264,2007.20969,34,6,59.03557912,HALIFAX,A,4
346,22318684,547,309,2004.51962,90,134,22.27244022,HALIFAX,A,5
347,36785532,617,451,2003.26982,93,10,21.5405357,HALIFAX,A,5
348,20799844,688,232,2002.63991,29,135,69.05654862,HALIFAX,A,4
349,37057354,489,211,2000.39984,40,134,50.009996,HALIFAX,A,3
350,60613178,530,128,1999.46948,50,2,39.9893896,HALIFAX,A,6
351,59651716,630,296,1996.03989,59,1,33.83118458,HALIFAX,A,4
352,20789485,507,198,1992.07928,20,152,99.603964,HALIFAX,A,1
353,59504655,566,250,1989.7696,19,5,104.7247158,HALIFAX,A,4
354,58872306,520,251,1989.34952,46,2,43.2467287,HALIFAX,A,4
355,65310916,579,213,1985.7497,125,3,15.8859976,HALIFAX,A,5
356,62374273,504,258,1984.58964,67,35,29.6207409,OAKVILLE,A,5
357,22207323,588,225,1974.25987,43,135,45.91302023,HALIFAX,A,4
358,52634309,585,383,1969.35983,26,141,75.74460885,HALIFAX,A,4
359,58833348,572,149,1967.87977,52,3,37.84384173,HALIFAX,A,6
360,21441097,646,251,1967.23976,51,138,38.57332863,CHESTER,A,4
361,58502082,662,256,1963.28978,91,1,21.57461297,HALIFAX,A,5
362,58872897,497,218,1961.76971,59,1,33.25033407,HALIFAX,A,6
363,21577503,507,283,1961.56969,39,148,50.29665872,HALIFAX,A,4
364,40052217,487,246,1960.90977,74,135,26.49878068,HALIFAX,A,5
365,58428440,546,267,1958.79955,19,11,103.0947132,ST. JOHN'S,A,4
366,61978529,610,281,1958.16001,33,7,59.33818212,HALIFAX,A,4
367,22284349,529,328,1957.84975,22,143,88.99317045,HALIFAX,A,4
368,39356203,851,460,1956.32998,101,112,19.36960376,HALIFAX,A,5
369,39819616,519,266,1946.03968,16,140,121.62748,HALIFAX,A,1
370,21692464,501,240,1944.96971,29,134,67.06792103,HALIFAX,A,4
371,22351981,525,249,1944.87994,14,136,138.9199957,HALIFAX,A,1
372,59914051,758,251,1944.66995,114,1,17.05850833,HALIFAX,A,5
373,59428166,542,322,1943.70974,38,5,51.15025632,HALIFAX,A,4
374,21161644,610,286,1942.81971,31,136,62.67160355,HALIFAX,A,4
