,ITEM_SK,TotalRevenue,TransactionCount,CustomerCount,AvgPrice,Category,Department,ItemDesc,pkm$cluster
52,11702769,16476.70843,3002,1321,4.984904196,Beef,Meat,Medium Gro,1
53,11668067,16428.91967,4678,1616,3.019461563,Bread Produ,Commercial B,Bens Villa,1
54,11599868,16131.21999,6388,2946,2.493209449,Salad Items,Produce,Celery,1
55,11612558,16111.68,6518,2954,2.387829696,Garlic Onio,Produce,Yellow Oni,1
56,11743679,16053.58923,3542,1733,4.582374392,Cooking Veg,Produce,Asparagus,1
57,11668104,15858.91981,4534,1719,2.965521697,Bread Produ,Commercial B,Bens Villa,1
58,11697902,15489.77999,8383,3576,1.671770117,Refrigerate,Produce,Comp Carro,1
59,11832856,15446.01916,3261,1444,4.316541774,Fin-Fish Fr,Seafood,Haddock Fi,1
60,12788250,15199.82995,3424,1539,4.309503461,Organic Pro,Produce,CompOrg Ba,1
61,11677203,15077.15869,3178,1282,4.761903457,Apple And P,Produce,Apples Hon,2
62,11675059,14815.47873,2567,553,5.521354953,Milk Produc,Dairy,Farmers Ho,2
63,15065940,14812.07943,2641,1358,5.274930972,Dairy Chees,Dairy,BlkDiamd C,2
64,11696651,14539.36637,1517,907,9.311867788,Beef,Meat,Extra Lean,4
65,11698026,14409.98977,3411,1481,4.033729417,Refrigerate,Produce,Comp Baby ,1
66,14423037,14159.26944,2126,657,6.503713527,Bistro,Home Meal Re,Crispy Chi,2
67,11682375,13827.27771,2513,1000,4.59636492,Pork,Meat,Lean Groun,2
68,12161360,13746.80723,1549,637,8.750198867,Other Fruit,Produce,Celebratio,4
69,11629829,13688.54994,5517,1993,0.639266534,Citrus,Produce,Oranges Na,1
70,11600749,13594.42995,5612,2736,2.301677067,Cooking Veg,Produce,Carrots 2L,1
71,11697985,13565.08374,1743,952,6.655733177,Chicken,Meat,Fresh Whol,2
72,11842659,13341.59932,1398,707,9.220420714,Fin-Fish Fr,Seafood,Fresh Atl ,4
73,13009827,13190.39952,2238,631,5.738951892,Bistro,Home Meal Re,Crispy Chi,2
74,11712740,13068.12952,3365,1040,3.662541861,Milk Produc,Dairy,Farmers 2%,2
75,11746191,12981.40797,2382,1249,4.534286883,Butter And ,Dairy,Scotsbrn R,2
76,11696669,12899.65753,1915,865,6.072441858,Beef,Meat,Extra Lean,2
77,11746235,12870.6,5397,1658,2.28,Milk Produc,Dairy,Farmers Mi,1
78,14905344,12623.02981,2388,911,4.835799023,Refrigerate,Produce,EatSmart S,2
79,12635005,12583.83857,2431,1194,4.486322561,Greeting Ca,General Merc,Greeting C,2
80,11650611,12564.56965,1924,812,6.472574564,Citrus,Produce,Clementine,2
81,11746231,12420.03999,5189,1496,2.279441549,Milk Produc,Dairy,Farmers Mi,1
82,12187228,12286.76979,3002,1293,3.832854436,Tomatoes,Produce,Comp Tomat,2
83,14567596,11866.03916,2194,1119,4.944013186,Processed,Meat,MapleLea B,2
84,11743876,11807.74982,3394,1291,3.374658947,Cooking Veg,Produce,Kale Green,2
85,11742219,11673.85998,7723,3206,1.517664138,Garlic Onio,Produce,Red Onions,1
86,11717359,11654.31966,2171,785,4.95473332,Organic And,Dairy,Green Vall,2
87,11635293,11608.59956,1674,1001,6.787055164,Paper,Grocery,Cashmere D,2
88,15066444,11291.71958,1990,1048,5.458644692,Dairy Chees,Dairy,BlkDiamd C,2
89,11731397,11243.4796,1860,738,6.092390318,Other Fruit,Produce,Whole Seed,2
90,12906968,11114.23823,1584,610,6.423677689,Soft Drinks,Grocery,CocaCola C,2
91,11750434,11043.79542,1601,635,3.513884396,GM,General Merc,Windsor Sa,2
92,11972270,11025.36975,3308,813,3.031960807,Other Fruit,Produce,Nutty Yogu,2
93,11742256,11020.78998,8771,3553,1.169103632,Salad Items,Produce,Onions Gre,1
94,11712769,10936.45966,2801,820,3.667930914,Milk Produc,Dairy,Farmers Sk,2
95,14567807,10904.47944,2026,1067,4.99951741,Processed,Meat,MapleLea B,2
96,11742393,10860.95978,4945,2214,2.190629614,Peppers&Hot,Produce,Pepper Ora,1
97,12913750,10844.72977,2076,683,4.89267172,Bagel,Instore Bake,Bagel Mont,2
98,11855813,10819.8897,1735,639,6.159482208,Bistro,Home Meal Re,NewWorld S,2
99,12750654,10691.68984,2413,1046,4.142596406,Deli Meats-,Deli,Comp Ham B,2
100,11645974,10569.71974,2141,634,4.796194884,Sandwich / ,Home Meal Re,Buffalo Ch,2
101,14340226,10541.99347,1194,499,8.085988006,Chicken,Meat,BlueGse Bn,4
102,11743676,10499.78977,2666,1432,3.805083139,Cooking Veg,Produce,Asparagus,2
103,11743933,10395.23,5180,1987,0.630575916,Other Fruit,Produce,Kiwi Fruit,1
104,11740296,10361.83987,4362,1460,2.302818629,Organic Pro,Produce,Bananas Or,2
105,11645976,10338.4198,2073,572,4.801850736,Sandwich / ,Home Meal Re,Buffalo Ch,2
106,11697904,10334.71999,3653,1629,2.523940016,Mushrooms,Produce,Comp Mush ,2
107,11741282,10312.40988,6460,2520,0.850219807,Citrus,Produce,Limes,1
108,14567659,10256.79899,1895,1042,4.830614229,Processed,Meat,MapleLea B,2
109,11700004,10245.89989,3673,664,2.678066532,Pizza (Fres,Home Meal Re,Pizza Slic,2
110,13009825,10225.63998,2161,618,4.599792824,Bistro,Home Meal Re,Crispy Chi,2
111,11613507,10221.15789,1691,767,5.261153923,Turkey,Meat,Comp Extra,2
112,12741292,10191.41986,1276,563,7.957142802,Bistro,Home Meal Re,NewWorld D,4
113,11701728,10136.55998,5809,2634,1.75012325,Garlic Onio,Produce,Onions Swe,1
114,11698970,9947.70852,1777,822,4.809173304,Beef,Meat,Beef Stir ,2
115,11746136,9938.17821,1694,470,5.292975408,Eggs,Dairy,C/Farm Egg,2
116,11621883,9855.7197,2310,1245,3.352686256,Other Fruit,Produce,Blueberrie,2
117,11616783,9840.26997,2178,779,4.350495471,Milk Produc,Dairy,Farmers 1%,2
118,11657048,9809.61233,1008,410,9.311152259,Frozen Dess,Frozen Groce,Oxford Wil,4
119,11633904,9752.80986,2905,1265,3.221556657,Salad Items,Produce,Lettuce Ro,2
120,11838638,9669.30963,2174,887,4.175401213,Refrigerate,Dairy,Tropican O,2
121,11746124,9622.79995,1827,604,4.952825562,Eggs,Dairy,MaritPrid ,2
122,12472025,9613.05971,2468,1161,3.196107469,Other Fruit,Produce,Raspberrie,2
123,11752725,9532.97984,3605,1028,2.16414379,Soft Drinks,Grocery,CocaCola C,2
124,11602754,9514.70965,2380,718,3.35412261,Yogurt,Dairy,Astro Yogu,2
125,14498035,9499.41967,1722,805,5.438424647,Refrigerate,Produce,Compliment,2
126,14340248,9444.32171,1065,428,8.394004288,Chicken,Meat,BlueGse Wh,4
127,11740420,9329.11997,3885,1486,2.391624929,Apple And P,Produce,Granny Smi,2
128,14211508,9315.86823,1567,586,5.093208178,Fin-Fish Fr,Seafood,Mpl Chipol,2
129,11744267,9278.48802,1436,456,5.700797764,Smoked / Sa,Seafood,Smkd Slice,2
130,11745914,9262.74972,4173,1926,1.110236654,Canned and ,Grocery,Kraft Dinn,1
131,11745088,9190.25957,1558,580,5.762316285,Bistro,Home Meal Re,California,2
132,11660920,9178.98989,2418,913,3.404566044,Bread Produ,Commercial B,Dempster B,2
133,12788252,9121.81952,1508,664,5.899052235,Organic Pro,Produce,Comp Baby ,2
134,11746237,9099.48,3763,1119,2.28,Milk Produc,Dairy,Farmers Mi,2
135,11698908,9092.87604,1201,637,6.59249898,Pork,Meat,P/Loin Rib,2
136,11683917,9074.48967,1693,878,5.074076403,Processed,Meat,Comp Bacon,2
137,11702379,8991.25983,3300,1370,2.69423498,Apple And P,Produce,Royal Gala,2
138,11746188,8967.44897,1664,835,4.750095759,Butter And ,Dairy,Scotsbrn T,2
139,14889792,8906.67974,2040,1041,4.089052022,Citrus,Produce,Clementine,2
140,11649813,8868.32977,3711,923,1.501360684,Water,Grocery,Big8 Sprin,2
141,11735921,8799.60989,2860,1279,2.938367547,Other Fruit,Produce,Large Cant,2
142,11742373,8778.29989,4228,1927,2.094377972,Peppers&Hot,Produce,Yellow Swe,1
143,11686818,8736.62991,2326,945,3.622101626,Eggs,Dairy,Comp Eggs ,2
144,11686251,8722.66591,995,548,7.736977697,Chicken,Meat,Chicken Br,4
145,14065552,8694.06248,908,400,9.239973698,Chicken,Meat,Prime Chck,4
146,14376833,8640.51994,2103,987,3.842707929,Organic Pro,Produce,CompOrg To,2
147,12159371,8526.75995,2356,921,3.394651502,Pastries,Instore Bake,Croissants,2
148,11745163,8498.86945,1349,399,6.090902378,Bistro,Home Meal Re,Salmon Rol,3
149,11746246,8402.95956,2083,602,3.632738948,Milk Produc,Dairy,Farmers 10,2
150,11687029,8365.96566,837,345,9.827916129,Frozen Dess,Frozen Groce,Comp Field,4
151,11699376,8251.41732,1193,675,6.131799107,Pork,Meat,Pork Tende,2
152,13789486,8236.4598,1381,502,5.898982485,Cooking Veg,Produce,Chicken Ca,2
153,11613509,8232.97806,1436,654,4.936185213,Chicken,Meat,Comp Extra,2
154,11743118,8217.58979,1424,543,5.713520922,HMR Chicken,Home Meal Re,1/2 BBQ Ch,2
155,11677975,8114.49978,2739,1495,2.74369828,Sugar,Grocery,Redpath Su,2
156,13797778,8083.9891,1317,472,5.825737816,Other Fruit,Produce,Mixed Berr,3
157,15060914,7968.26988,1737,764,4.199080244,Frozen Dess,Frozen Groce,Comp Blueb,2
158,11740890,7953.92995,3210,1239,2.473570376,Apple And P,Produce,Red Delici,2
159,12406002,7942.8825,886,431,8.742789041,Beef,Meat,Stewing Be,4
160,11894374,7942.28972,1967,978,3.683804408,Tomatoes,Produce,Tomato San,2
161,11702684,7935.45399,869,525,9.000908253,Pork,Meat,P/Loin Cho,4
162,11698114,7928.28861,1568,540,3.932849654,Pork,Meat,Pork Belly,2
163,11610108,7853.70501,909,452,8.57272953,HMR Chicken,Home Meal Re,GourmMin B,4
164,12577750,7833.44231,820,368,9.147861286,Chicken,Meat,MLPrime Ch,4
165,11689531,7812.20975,1530,803,4.581030357,Butter And ,Dairy,Comp Salte,2
166,13966754,7764.46769,787,431,9.67341978,Shell Fish ,Seafood,Mirabel Sh,4
167,11687104,7711.80989,1734,833,4.189428716,Frozen Dess,Frozen Groce,Comp Jumbl,2
168,11742603,7697.20994,5237,2133,1.47525962,Cooking Veg,Produce,Zucchini S,1
169,11972326,7634.54979,2430,683,2.82836769,Other Fruit,Produce,Fruit Yogu,2
170,12156017,7537.62346,798,380,9.192928565,Chicken,Meat,MLPrime Ch,4
171,11742670,7487.17993,4375,1718,1.72527532,Tomatoes,Produce,Plum (Roma,2
172,11686811,7428.28989,1826,808,3.825635249,Eggs,Dairy,Comp Eggs ,2
173,14043843,7388.4,1752,863,4.150522857,Organic Pro,Produce,CompOrg Ha,2
174,11728785,7378.79,3511,1662,2.116509488,Apple And P,Produce,Bartlett P,2
175,11749110,7365.43996,2212,1041,2.913892401,Bread Produ,Commercial B,Bens Engli,2
176,11659751,7326.70979,2119,954,2.633378186,Bread Produ,Commercial B,Bens Smart,2
177,11617596,7308.51993,1777,765,3.837283312,Cooking Veg,Produce,Broccoli C,2
178,11741054,7301.19983,1894,999,3.099668761,Other Fruit,Produce,Raspberrie,2
179,11746226,7242.15999,3053,814,2.27952506,Milk Produc,Dairy,Farmers Mi,2
180,11665774,7230.9899,1755,1110,3.980532101,Condiment,Grocery,Heinz Ketc,2
181,15232272,7226.38965,2800,881,1.794143354,Internation,Grocery,Coke with ,2
182,12788247,7220.67986,1455,677,4.858715425,Organic Pro,Produce,CompOrg Ro,2
183,11742303,7210.87999,2409,876,2.769904404,Breads,Instore Bake,Bread M/Gr,2
184,11667876,7170.23353,788,345,8.950335252,Horticultur,Floral,Rose Bouqu,4
185,12193406,7146.98992,775,274,9.194036171,Sushi,Seafood,Rainbow Ro,4
186,11731777,7123.64935,1379,502,5.050304365,Fin-Fish Fr,Seafood,Fresh Hadd,2
187,11660553,7100.56994,1857,792,3.431567391,Bread Produ,Commercial B,Dempster B,2
188,12499413,7091.70838,839,543,8.317358035,Paper,Grocery,Cashmere D,4
189,14370456,7058.94992,2005,735,3.344832738,Cookies,Instore Bake,M & M Mons,2
190,11740615,6987.00991,2553,1147,2.691970903,Salad Items,Produce,Lettuce Ic,2
191,11702687,6981.38546,812,495,7.659972251,Pork,Meat,Pork Loin ,4
192,11683922,6949.75968,1296,695,5.014461517,Processed,Meat,Comp Bacon,2
193,11635275,6949.06691,709,451,9.694145914,Paper,Grocery,Cashmere B,4
194,11653805,6939.0398,902,432,7.585240633,Cooking Veg,Produce,Celebrtn T,4
195,14237874,6927.05968,987,600,6.840057472,Paper,Grocery,Cashmere U,4
196,11746227,6924.31961,1766,432,3.644028628,Milk Produc,Dairy,Farmers Mi,2
197,11742323,6895.37996,2603,800,2.410341548,Breads,Instore Bake,100% Whole,2
198,14388091,6890.74836,930,417,6.838366361,Chicken,Meat,Sensatns B,4
199,11666579,6843.66983,1244,774,5.012954763,Spreads And,Grocery,Kraft Smoo,2
200,11832825,6831.80897,1143,554,5.351106762,Fin-Fish Fr,Seafood,Atlantic S,3
201,11743793,6750.61997,3630,1521,1.73586388,Salad Items,Produce,Cilantro C,2
202,11744784,6738.36994,2470,1179,2.823532026,Potatoes,Produce,New White ,2
203,11603103,6719.99836,1982,32,1.975224176,Lottery Sal,Lottery,Scratch EP,5
204,13789482,6707.15976,1092,482,6.031625312,Cooking Veg,Produce,Strawberry,3
205,11699047,6689.06435,764,286,8.409433756,Service Cas,Meat,SS Beef Ri,4
206,11743288,6679.13954,1040,351,6.195410829,Bistro,Home Meal Re,2Pc Crispy,3
207,11743836,6665.61991,4999,2189,1.335653642,Cooking Veg,Produce,Ginger Roo,1
208,11625422,6657.77981,1453,500,4.374260108,Milk Produc,Dairy,Farmers 1%,2
209,13056659,6623.04987,1481,726,4.089889676,Deli Meats-,Deli,Comp Honey,2
210,11698066,6609.39951,1404,650,4.259240674,Pork,Meat,Pork Loin ,2
211,11778592,6586.15999,2649,1078,2.245588309,Refrigerate,Produce,Comp Garde,2
212,11742054,6557.83953,1847,757,3.477917617,Cooking Veg,Produce,Large Eggp,2
213,13009828,6554.10967,924,272,6.92752961,Bistro,Home Meal Re,Crispy Chi,4
214,11625341,6534.12999,2743,1134,2.271594255,Milk Produc,Dairy,Farmers 1%,2
215,11828090,6531.0699,1446,840,2.87098906,Organic Pro,Produce,Blueberry ,2
216,11738366,6468.98648,901,391,5.971439121,Beef,Meat,SS Strip L,3
217,11746288,6461.65982,1530,397,3.860907466,Milk Produc,Dairy,Scotsbrn M,2
218,11653271,6453.13,5942,2798,0.798436693,Garlic Onio,Produce,California,1
219,11701997,6443.61361,692,277,9.095437195,Fresh Crust,Seafood,Lobster Ma,4
220,11646246,6440.76991,1358,409,4.584707443,Sandwich / ,Home Meal Re,Crispy Tor,3
221,11838636,6410.89988,1475,700,4.156707364,Refrigerate,Dairy,Tropican O,2
222,11686847,6382.1498,1990,817,3.222755114,Other Fruit,Produce,Tree Ripe ,2
223,13789458,6357.90987,1184,479,5.326622937,Cooking Veg,Produce,Caesar Sal,3
224,12185943,6307.65408,660,240,7.969704301,Services - ,Services,Corporate ,4
225,11679922,6302.04972,1872,746,3.307024876,Deli Meats-,Deli,Comp Black,2
226,14332393,6300.60503,684,269,8.35496187,Chicken,Meat,Mina Chick,4
227,11697893,6295.32999,1591,745,3.888324924,Refrigerate,Produce,Comp Carro,2
228,11654011,6287.83985,1082,508,5.702407341,Refrigerate,Dairy,SmplyOrn J,3
229,11673426,6284.94981,2096,904,3.022664164,Other Fruit,Produce,Tree Ripe ,2
230,11673145,6249.08972,1066,408,5.760635836,Milk Produc,Dairy,Scotsbrn 1,3
231,11603747,6242.51987,1492,452,3.869639792,Milk Produc,Dairy,Scotsbrn S,2
232,12176852,6239.75805,954,422,6.14184685,Beef,Meat,Boneless S,3
233,11746245,6188.41999,2660,984,2.289890854,Milk Produc,Dairy,Farmers 10,2
234,12787255,6187.89988,1587,680,3.497429151,Alternative,Instore Bake,Sensatns N,2
235,11634180,6173.42976,714,243,8.480527374,Bistro,Home Meal Re,Breaded Co,4
236,14341397,6159.08951,1278,462,4.254352031,Organic Pro,Produce,CompOrg Ba,2
237,11779280,6145.53996,1822,864,2.91564489,Bread Produ,Commercial B,Bens Eng M,2
238,14211504,6131.27916,1165,436,4.675009684,Fin-Fish Fr,Seafood,Honey Dijo,3
239,11741133,6125.84881,1041,540,5.92176099,Other Fruit,Produce,Green Seed,3
240,14498036,6111.40948,1051,486,5.552184163,Refrigerate,Produce,Compliment,3
241,11603742,6109.18994,1490,456,3.872141564,Milk Produc,Dairy,Scotsbrn M,2
242,11684627,6086.36898,673,434,6.6861022,Shell Fish ,Seafood,Comp Shrim,3
243,14221933,6084.97938,1141,520,4.651020224,Fin-Fish Fr,Seafood,Atlantic S,3
244,14960105,6079.49974,1311,458,4.254015732,Eggs,Dairy,MaritPri G,2
245,14340510,6062.28996,1728,629,3.322107694,Cookies,Instore Bake,Chocolate ,2
246,11684447,6062.19993,1308,332,4.514011706,Sandwich / ,Home Meal Re,Crispy Tor,3
247,11954858,6054.77994,1327,653,4.218882176,Frozen Dess,Frozen Groce,Comp Parad,2
248,11701295,6047.47985,2320,688,2.375072699,Breads,Instore Bake,White Brea,2
249,15607474,5978.03832,904,400,6.021930384,Beef,Meat,Ground Chu,3
250,15145961,5974.97406,598,343,9.616735146,Chicken,Meat,Sens Bnls ,4
251,11659753,5968.78981,1643,705,2.982915222,Bread Produ,Commercial B,Bens Sandw,2
252,11735563,5955.00404,650,187,8.226015422,Water,Grocery,Big8 Sprin,4
253,12820692,5940.25919,935,325,5.6471471,Soft Drinks,Grocery,Pepsi Cans,3
254,11820821,5912.65724,616,403,7.019124228,Shell Fish ,Seafood,Comp CPTO ,4
255,14963277,5908.34996,1127,474,4.860207396,Eggs,Dairy,MaritPri E,3
256,11746171,5900.05996,1485,453,3.865488865,Milk Produc,Dairy,Scotsbrn M,2
257,13797900,5882.30984,1612,519,3.367216316,Other Fruit,Produce,Strawberri,2
258,11658157,5870.64,1634,766,3.263915441,Chips,Grocery,Tostitos B,2
259,11681645,5869.7198,1615,284,2.850344295,Alternative,Grocery,Monster En,5
260,13966656,5864.19686,697,345,8.433535062,Deli Cheese,Deli,Emma Parmi,4
261,11673146,5856.08966,987,305,5.770987985,Milk Produc,Dairy,Scotsbrn 2,3
262,11742149,5844.40991,2640,1185,2.102480045,Salad Items,Produce,Romaine Le,2
263,11742015,5831.79997,3234,1397,1.561808146,Salad Items,Produce,Cucumbers ,2
264,11685064,5798.68992,1379,715,3.531712779,Citrus,Produce,Navel Oran,2
265,11659752,5788.6098,1560,694,2.915240066,Bread Produ,Commercial B,Bens Sandw,2
266,11746248,5773.68993,1335,363,4.182000487,Milk Produc,Dairy,Farmers 18,5
267,11600729,5766.38998,1193,638,4.606696098,Garlic Onio,Produce,Yellow Oni,2
268,14570356,5704.48957,934,583,5.653455414,Dairy Chees,Dairy,CrackBar O,3
269,15231453,5688.19989,2381,743,1.794169119,Internation,Grocery,CocaCola C,2
270,11746250,5643.78994,1378,710,3.870573495,Milk Produc,Dairy,Farmers 35,2
271,11741211,5621.00994,2427,1012,1.138773279,Citrus,Produce,Red Grapef,2
272,11740793,5617.11999,2674,1103,2.096868096,Apple And P,Produce,McIntosh A,2
273,11746135,5614.90999,1774,720,3.100861063,Eggs,Dairy,MaritPri E,2
274,11639532,5594.75998,1420,757,3.84126056,Potatoes,Produce,Comp Potat,2
275,12932699,5578.57935,963,384,5.407763566,Beef,Meat,SterlSil T,3
276,11603104,5564.99853,1136,30,2.845036081,Lottery Sal,Lottery,Scratch EP,5
277,11699076,5561.42882,992,349,4.570602966,Pork,Meat,Pork Side ,3
278,11660916,5541.9698,1416,671,3.411122076,Bread Produ,Commercial B,Dempster B,2
279,11646189,5540.58998,1549,753,3.240460806,Chips,Grocery,Tostitos R,2
280,14433430,5539.93964,798,491,6.662124043,Paper,Grocery,Cashmere E,3
281,11838637,5532.42963,1206,515,4.20861836,Refrigerate,Dairy,Tropican O,5
282,11659744,5528.19972,1536,744,2.798187708,Bread Produ,Commercial B,Bens Extra,2
283,11702668,5524.93452,558,343,8.88102837,Beef,Meat,Prime Rib ,4
284,11751082,5524.5,1423,404,3.877588152,Magazines A,Books & Maga,Globe And ,5
285,11746294,5504.47984,1351,424,3.86112752,Milk Produc,Dairy,Scotsbrn M,5
286,12785668,5485.77996,2030,1036,2.286001809,Organic Pro,Produce,Comp Mushr,2
287,14941740,5478.25999,1500,676,3.38044147,Bread Produ,Commercial B,Dempster B,2
288,11751043,5469.77996,3167,492,1.711575391,Magazines A,Books & Maga,Chronicle ,2
289,11616746,5460.57,1262,305,4.276315372,Sandwich / ,Home Meal Re,Dagwood Sa,3
290,11697782,5425.76984,1140,504,4.535686209,Bread Produ,Commercial B,Dempster T,3
291,11630769,5399.17979,1293,666,3.987821872,Other Fruit,Produce,Golden Pin,2
292,11698078,5384.03982,1416,639,3.207510553,Pork,Meat,Pork Loin ,2
293,11860771,5373.9098,1376,531,3.459602097,Bread Produ,Commercial B,Dempster B,5
294,11676167,5343.62983,908,263,5.792326257,Bistro,Home Meal Re,Brd Coloss,3
295,14543178,5330.16746,582,357,8.913518217,Shell Fish ,Seafood,Bay Scallo,4
296,11746297,5321.45,1308,350,3.869648049,Milk Produc,Dairy,Scotsbrn M,5
297,14570357,5313.07973,871,570,5.796631889,Dairy Chees,Dairy,CrackBar C,3
298,12176839,5308.1866,562,347,8.493808662,Beef,Meat,Top Sirloi,4
299,11838811,5288.94999,3044,935,1.604580588,Milk Produc,Dairy,Farmers Mi,2
300,11740898,5253.60999,2352,950,2.281057296,Apple And P,Produce,Golden Del,2
301,14082848,5249.81916,850,327,5.659422367,Yogurt,Dairy,Liberte Pl,3
302,12788254,5243.54999,1300,687,3.854179544,Organic Pro,Produce,CompOrg Gr,2
303,11733929,5230.05936,663,281,7.430868232,Cereal,Grocery,Kelloggs V,4
304,13789470,5229.25987,897,350,5.763549519,Cooking Veg,Produce,Greek Sala,3
305,12741459,5228.60993,746,291,6.961943653,Sushi,Seafood,NewWorld S,4
306,11702677,5221.12658,650,380,6.901239637,Pork,Meat,Pork Side ,4
307,11636454,5192.92999,1311,358,3.934818783,Sandwich / ,Home Meal Re,Deli Mixed,5
308,11684344,5168.73985,744,367,6.84642463,Deli Cheese,Deli,Zerto Shre,4
309,14460576,5162.96849,737,373,6.367843058,Beef,Meat,SterlSil T,3
310,13797915,5155.69999,1345,741,3.833141216,Refrigerate,Produce,Comp Sprin,2
311,11745096,5154.96987,516,163,9.86428282,Sushi,Seafood,Marina Pla,4
312,11741762,5150.58999,1981,907,2.516180697,Cooking Veg,Produce,Bunch Carr,2
313,12787323,5142.01,2067,883,2.390973366,Organic Pro,Produce,Comp Green,2
314,14020974,5137.32995,1425,760,3.531927463,Deli Cheese,Deli,Parmesan R,2
315,12932343,5135.85613,584,369,7.517578902,Beef,Meat,SterlSil I,4
316,11753850,5134.10988,1985,633,2.063325836,Soft Drinks,Grocery,Pepsi 2L,2
317,11669491,5126.37972,1061,476,4.527730441,Bread Produ,Commercial B,Demp Plain,3
